eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((566457.19749243 4076482.32332155,566457.420055431 4076481.88578215,566456.982516034 4076481.66321915,566456.759953033 4076482.10075854,566457.19749243 4076482.32332155))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((566457.678400931 4076482.71277138,566457.25272675 4076482.47644891,566457.016404283 4076482.90212309,566457.442078465 4076483.13844556,566457.678400931 4076482.71277138))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((566458.10568139 4076482.24091241,566457.861030741 4076482.65005372,566458.270172053 4076482.89470437,566458.514822703 4076482.48556305,566458.10568139 4076482.24091241))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((566791.184485574 4076539.60458644,566791.659157655 4076539.60818531,566791.66275653 4076539.13351323,566791.188084448 4076539.12991436,566791.184485574 4076539.60458644))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((566791.07035343 4076538.35081385,566791.561513058 4076538.33537964,566791.546078844 4076537.84422001,566791.054919216 4076537.85965422,566791.07035343 4076538.35081385))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((566791.089221981 4076539.07243906,566791.050491148 4076538.55340592,566790.531458015 4076538.59213675,566790.570188848 4076539.11116989,566791.089221981 4076539.07243906))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((566787.082602025 4076548.11553002,566787.573264377 4076548.33123575,566787.78897011 4076547.8405734,566787.298307757 4076547.62486767,566787.082602025 4076548.11553002))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((566788.01749495 4076547.77358177,566788.416552873 4076548.00469744,566788.647668544 4076547.60563952,566788.248610622 4076547.37452385,566788.01749495 4076547.77358177))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((566787.714718576 4076546.90310641,566788.131573333 4076547.14708197,566788.375548891 4076546.73022721,566787.958694133 4076546.48625165,566787.714718576 4076546.90310641))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((566787.562034724 4076547.04095417,566787.125038011 4076546.82683568,566786.910919522 4076547.26383239,566787.347916236 4076547.47795088,566787.562034724 4076547.04095417))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,
