eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20180123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20180123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20190124,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20190124,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,20190124,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,20190124,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20200204,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,20200204,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,20200204,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20200204,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,20210211,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,20210211,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20210211,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20210211,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,20220128,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20220128,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,20220128,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20220128,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,20230112,Quadrat count,0.25,m^2,,,,,,
