WKT,parcela,transecto
"LINESTRING (566456.73457006 4076475.84226758,566456.47024296 4076473.86736654,566456.47024296 4076473.86736654,566456.47024296 4076473.86736654)",A11,T1
"LINESTRING (566457.614401691 4076474.64524343,566455.613067937 4076474.89824222,566455.613067937 4076474.89824222,566455.613067937 4076474.89824222)",A11,T2
"LINESTRING (566458.800038516 4076471.31468684,566458.558467123 4076473.24725798)",A10,T1
"LINESTRING (566457.743163672 4076472.1450885,566459.751225876 4076472.52254381)",A10,T2
"LINESTRING (566467.547006304 4076478.05629863,566467.716499013 4076476.06149983)",A14,T1
"LINESTRING (566466.650621727 4076476.97600992,566468.643623043 4076477.14629801)",A14,T2
"LINESTRING (566457.980809955 4076483.30819141,566457.384833968 4076481.39215646)",A13,T1
"LINESTRING (566456.73872916 4076482.53397961,566458.643624371 4076481.94357349)",A13,T2
"LINESTRING (566411.931552228 4076498.73922808,566413.846560388 4076499.46925881)",A15,T1
"LINESTRING (566412.455269929 4076500.00884675,566413.185300664 4076498.13086913)",A15,T2
"LINESTRING (566417.517257086 4076508.65487808,566416.991776541 4076506.71957168)",A16,T1
"LINESTRING (566416.382988104 4076507.87947386,566418.311886203 4076507.34117672)",A16,T2
"LINESTRING (566790.781505134 4076539.54343827,566791.95292856 4076537.91020368)",A20,T1
"LINESTRING (566792.155674923 4076539.40264218,566790.646340893 4076538.08479083)",A20,T2
"LINESTRING (566788.069644586 4076548.40224285,566787.480186259 4076546.47925585)",A21,T1
"LINESTRING (566786.794095419 4076547.70648876,566788.697755918 4076547.06871417)",A21,T2
"LINESTRING (566797.038769709 4076558.43519461,566799.046048836 4076558.53113075)",A19,T1
"LINESTRING (566797.894815219 4076559.42407477,566798.03502957 4076557.42417535)",A19,T2
"LINESTRING (567006.997598415 4076779.2800394,567007.174592137 4076777.28253883)",A24,T1
"LINESTRING (567006.207447873 4076778.20543466,567008.192306035 4076778.45828284)",A24,T2
"LINESTRING (566988.086126394 4076779.07727139,566990.084212334 4076779.23501502)",A23,T1
"LINESTRING (566988.935493515 4076780.12844544,566988.9990469 4076778.12527983)",A23,T2
"LINESTRING (566990.993249168 4076790.91258808,566992.924131446 4076791.45143894)",A22,T1
"LINESTRING (566991.633134574 4076792.10255041,566992.127081203 4076790.16044207)",A22,T2
"LINESTRING (567174.746893674 4076927.37184942,567176.680573449 4076926.84699348)",A28,T1
"LINESTRING (567175.89789354 4076928.10848934,567175.373037601 4076926.17480956)",A28,T2
"LINESTRING (567176.914809913 4076917.57821861,567178.575553461 4076916.448913)",A29,T1
"LINESTRING (567178.295072329 4076917.89560515,567177.195291046 4076916.22009944)",A29,T2
"LINESTRING (567438.359136049 4077174.73547168,567440.346566163 4077175.02746378)",A25,T1
"LINESTRING (567439.253950556 4077175.82337774,567439.451751657 4077173.83123807)",A25,T2
"LINESTRING (567440.789853703 4077182.0321893,567442.208495684 4077180.61354732)",A26,T1
"LINESTRING (567442.214216014 4077182.05507062,567440.784133372 4077180.6478693)",A26,T2
"LINESTRING (567447.764796783 4077179.83836181,567449.375967711 4077178.65257572)",A27,T1
"LINESTRING (567449.120586046 4077180.11676393,567447.954343111 4077178.490834)",A27,T2
"LINESTRING (567186.131512961 4076915.10718607,567187.767619927 4076913.95366027)",A30,T1
"LINESTRING (567187.440790942 4076915.47108056,567186.34941558 4076913.79024577)",A30,T2
